first_name,middle_name,last_name,email,student_id,course,year
Trescha,Shirlaw,Jerrold,tjerrold0@vinaora.com,43816108,Bachelor of Science in Computer Science,1
Kiersten,Flute,Brettoner,kbrettoner1@sciencedaily.com,39536061,Bachelor of Science in Computer Science,1
Buddy,Sargison,MacDougall,bmacdougall2@yolasite.com,51856105,Bachelor of Science in Computer Science,1
Charlton,Filochov,Skerratt,cskerratt3@ed.gov,80347993,Bachelor of Science in Computer Science,1
Philippine,Teacy,Littlekit,plittlekit4@reuters.com,45847645,Bachelor of Science in Computer Science,1
Jemima,Eade,Kryska,jkryska5@cafepress.com,41958780,Bachelor of Science in Computer Science,1
Kelwin,Prenty,Waye,kwaye6@360.cn,10465210,Bachelor of Science in Computer Science,1
Perry,Menghi,Eyckelberg,peyckelberg7@ed.gov,70986919,Bachelor of Science in Computer Science,1
Zebedee,Flement,Pautot,zpautot8@auda.org.au,95258406,Bachelor of Science in Computer Science,1
Joelly,Wassung,Harkes,jharkes9@blinklist.com,87187221,Bachelor of Science in Computer Science,2
Udall,Monahan,Withrop,uwithropa@washington.edu,78719935,Bachelor of Science in Computer Science,2
Kirsteni,Mac Giany,Tue,ktueb@answers.com,78298256,Bachelor of Science in Computer Science,2
Vergil,Bewly,Bendix,vbendixc@youku.com,45364359,Bachelor of Science in Computer Science,2
Lorenzo,Legen,Mullord,lmullordd@paginegialle.it,20471193,Bachelor of Science in Computer Science,2
Estella,O' Mahony,Rouchy,erouchye@amazon.de,24924903,Bachelor of Science in Computer Science,2
Adda,Cambell,Cattermull,acattermullf@artisteer.com,35913615,Bachelor of Science in Computer Science,2
Lexis,Rembaud,Mansion,lmansiong@vkontakte.ru,44585373,Bachelor of Science in Computer Science,2
Sutton,Bartolini,Colmer,scolmerh@a8.net,92851450,Bachelor of Science in Computer Science,2
Elmore,Wilsey,Ghiotto,eghiottoi@webnode.com,20825453,Bachelor of Science in Computer Science,2
Brandice,Beckwith,Husband,bhusbandj@w3.org,86825591,Bachelor of Science in Computer Science,3
Korella,Rodgier,Petz,kpetzk@cnbc.com,98785790,Bachelor of Science in Computer Science,3
Demetrius,Blount,Fleetwood,dfleetwoodl@sciencedaily.com,19205084,Bachelor of Science in Computer Science,3
Ilyse,Born,Hillin,ihillinm@upenn.edu,59783784,Bachelor of Science in Computer Science,3
Staford,McCarlie,Olcot,solcotn@ftc.gov,37504378,Bachelor of Science in Computer Science,3
Lynda,McKean,Kubicek,lkubiceko@sciencedaily.com,74548206,Bachelor of Science in Computer Science,3
Natalee,Walkowski,Plevin,nplevinp@sun.com,43237697,Bachelor of Science in Computer Science,3
Theresita,Halmkin,Lathwood,tlathwoodq@twitter.com,14283339,Bachelor of Science in Computer Science,3
Erminie,Newberry,Rawsthorne,erawsthorner@wikispaces.com,33876086,Bachelor of Science in Computer Science,3
Patsy,Hegdonne,Scragg,pscraggs@plala.or.jp,96604609,Bachelor of Science in Computer Science,3
Amii,Popple,Turtle,aturtlet@skyrock.com,66298868,Bachelor of Science in Computer Science,4
Serene,Duckhouse,McCarty,smccartyu@nyu.edu,51844131,Bachelor of Science in Computer Science,4
Trueman,Humpatch,Webborn,twebbornv@geocities.jp,25422733,Bachelor of Science in Computer Science,4
Ezechiel,Semken,Penvarne,epenvarnew@shutterfly.com,53428974,Bachelor of Science in Computer Science,4
Lynna,Gerren,Trosdall,ltrosdallx@apple.com,34953265,Bachelor of Science in Computer Science,4
Delano,Dykes,Armstrong,darmstrongy@posterous.com,92704762,Bachelor of Science in Computer Science,4
Jimmie,Schiesterl,Parkes,jparkesz@java.com,32762731,Bachelor of Science in Computer Science,4
Jorgan,Burnes,Celes,jceles10@chronoengine.com,37129517,Bachelor of Science in Computer Science,4
Morganica,Congreave,Pauwel,mpauwel11@cbslocal.com,39202220,Bachelor of Science in Computer Science,4
Stanton,Nicholson,McNellis,smcnellis12@hexun.com,45727792,Bachelor of Science in Computer Science,4
Birdie,Delooze,Dureden,bdureden13@tmall.com,64268305,Bachelor of Science in Information Technology,1
Olympe,Demke,Maso,omaso14@sina.com.cn,10703527,Bachelor of Science in Information Technology,1
Gerald,Kunkler,Massimi,gmassimi15@pinterest.com,60428711,Bachelor of Science in Information Technology,1
Isidro,Tuite,Pattillo,ipattillo16@tamu.edu,60959970,Bachelor of Science in Information Technology,1
Wye,Sterre,Rubbert,wrubbert17@icq.com,25448068,Bachelor of Science in Information Technology,1
Emmery,Dedney,Sterrie,esterrie18@dot.gov,94056440,Bachelor of Science in Information Technology,1
Aldon,Saynor,Kohrt,akohrt19@4shared.com,48985151,Bachelor of Science in Information Technology,1
Puff,Hancorn,Bouttell,pbouttell1a@deliciousdays.com,51634052,Bachelor of Science in Information Technology,1
Rhona,Leyburn,Quant,rquant1b@huffingtonpost.com,48539070,Bachelor of Science in Information Technology,1
Kimball,Meers,Giorgetti,kgiorgetti1c@ucsd.edu,82030284,Bachelor of Science in Information Technology,1
Tommy,Glentworth,Camous,tcamous1d@privacy.gov.au,97801506,Bachelor of Science in Information Technology,2
Jodie,Wagen,Merriton,jmerriton1e@hubpages.com,56843565,Bachelor of Science in Information Technology,2
Dacy,Spaldin,D'Onise,ddonise1f@homestead.com,21252177,Bachelor of Science in Information Technology,2
Ethelda,De Beneditti,Kirkbride,ekirkbride1g@prnewswire.com,49561013,Bachelor of Science in Information Technology,2
Coletta,Christopherson,MacCulloch,cmacculloch1h@bigcartel.com,85733419,Bachelor of Science in Information Technology,2
Rana,St. John,McGorley,rmcgorley1i@globo.com,80156763,Bachelor of Science in Information Technology,2
Rivkah,Dowsing,McFaul,rmcfaul1j@seesaa.net,36208123,Bachelor of Science in Information Technology,2
Kenn,Syers,Lucchi,klucchi1k@globo.com,94951650,Bachelor of Science in Information Technology,2
Fayth,Jarnell,Hallitt,fhallitt1l@cornell.edu,39558748,Bachelor of Science in Information Technology,2
Griselda,Riggulsford,Griston,ggriston1m@cam.ac.uk,92480789,Bachelor of Science in Information Technology,2
Lynna,Beane,Master,lmaster1n@omniture.com,14135812,Bachelor of Science in Information Technology,3
Horten,Vernalls,Hallahan,hhallahan1o@mayoclinic.com,12285870,Bachelor of Science in Information Technology,3
Camala,Asee,Gristock,cgristock1p@cmu.edu,51119462,Bachelor of Science in Information Technology,3
Bertrand,Fountaine,Westoff,bwestoff1q@addtoany.com,20920720,Bachelor of Science in Information Technology,3
Ogdan,Aronsohn,Maddern,omaddern1r@bbc.co.uk,63257549,Bachelor of Science in Information Technology,3
Alastair,Gorghetto,Teaze,ateaze1s@theatlantic.com,36961026,Bachelor of Science in Information Technology,3
Ede,Mudd,Matejovsky,ematejovsky1t@biglobe.ne.jp,11788975,Bachelor of Science in Information Technology,3
Seward,Deneve,Mixter,smixter1u@photobucket.com,28773004,Bachelor of Science in Information Technology,3
Gerrard,Laxton,O'Reilly,goreilly1v@gmpg.org,22545989,Bachelor of Science in Information Technology,3
Rhonda,Petch,Helwig,rhelwig1w@barnesandnoble.com,93219332,Bachelor of Science in Information Technology,3
Noell,Danahar,Brounsell,nbrounsell1x@shop-pro.jp,81735230,Bachelor of Science in Information Technology,4
Moira,Gourlie,Zecchetti,mzecchetti1y@zimbio.com,65077518,Bachelor of Science in Information Technology,4
Corene,Cordingley,Januszewicz,cjanuszewicz1z@ebay.co.uk,44620308,Bachelor of Science in Information Technology,4
Indira,Mizzen,Gwinnel,igwinnel20@washington.edu,49384167,Bachelor of Science in Information Technology,4
Tabbitha,Lindstedt,Darlington,tdarlington21@imdb.com,11650245,Bachelor of Science in Information Technology,4
Tarra,Bunt,Duffyn,tduffyn22@so-net.ne.jp,69597807,Bachelor of Science in Information Technology,4
Rori,Slorance,Stuckes,rstuckes23@tiny.cc,96218578,Bachelor of Science in Information Technology,4
Georgi,Schriren,Suche,gsuche24@businessinsider.com,85974698,Bachelor of Science in Information Technology,4
Georgie,McCuish,Khosa,gkhosa25@youku.com,13326358,Bachelor of Science in Information Technology,4
Ravi,Gambrell,Hansill,rhansill26@seesaa.net,51252693,Bachelor of Science in Information Technology,4
Nicola,Knolles-Green,Newcomen,nnewcomen27@stumbleupon.com,46918199,Associate in Computer Technology,1
Francoise,Hazelhurst,Cammock,fcammock28@unesco.org,66808681,Associate in Computer Technology,1
Blanche,Long,Matresse,bmatresse29@dion.ne.jp,18702659,Associate in Computer Technology,1
Kinna,Emanuel,Robke,krobke2a@whitehouse.gov,81523933,Associate in Computer Technology,1
Wilow,Wapplington,Du Fray,wdufray2b@unc.edu,48206897,Associate in Computer Technology,1
Dorian,Lockitt,Fowlestone,dfowlestone2c@ted.com,56281154,Associate in Computer Technology,1
Pepita,McDermid,Clail,pclail2d@unicef.org,59210964,Associate in Computer Technology,1
Agnese,Roseblade,Bruford,abruford2e@typepad.com,52932512,Associate in Computer Technology,1
Hattie,Ianniello,Bradane,hbradane2f@blogspot.com,53375704,Associate in Computer Technology,1
Carolin,Ivimy,Bonefant,cbonefant2g@goo.gl,68723943,Associate in Computer Technology,1
Rasla,Simonou,Fransemai,rfransemai2h@addthis.com,22651249,Associate in Computer Technology,2
Melvin,Berthe,Whates,mwhates2i@cam.ac.uk,59629747,Associate in Computer Technology,2
Casandra,Iscowitz,Cockney,ccockney2j@purevolume.com,30803704,Associate in Computer Technology,2
Tressa,Cretney,Garbott,tgarbott2k@tamu.edu,46505446,Associate in Computer Technology,2
Ase,Marusic,Woodhouse,awoodhouse2l@i2i.jp,14788282,Associate in Computer Technology,2
Avrom,Orman,King,aking2m@nba.com,86900935,Associate in Computer Technology,2
Bidget,Ellaman,Orton,borton2n@cyberchimps.com,68593407,Associate in Computer Technology,2
Colby,Sottell,Skechley,cskechley2o@wufoo.com,27582483,Associate in Computer Technology,2
Mufinella,Sherburn,Dowrey,mdowrey2p@zdnet.com,34126705,Associate in Computer Technology,2
Mata,Badam,Blackham,mblackham2q@bing.com,96278029,Associate in Computer Technology,2
Lottie,Plott,Beneix,lbeneix2r@oaic.gov.au,18164623,Associate in Computer Technology,3
Olva,Gleadhell,McPhaden,omcphaden2s@ehow.com,30004337,Associate in Computer Technology,3
Tildy,Proffitt,Creyke,tcreyke2t@mit.edu,80725860,Associate in Computer Technology,3
Liuka,Hyett,Peirpoint,lpeirpoint2u@clickbank.net,30012109,Associate in Computer Technology,3
Ryley,Adger,Petrello,rpetrello2v@qq.com,56707162,Associate in Computer Technology,3
Dawna,Welbrock,Lyven,dlyven2w@wordpress.org,63108934,Associate in Computer Technology,3
Larina,Chasteney,Afonso,lafonso2x@ustream.tv,48617268,Associate in Computer Technology,3
Rosalia,Lung,Kilbey,rkilbey2y@mapy.cz,75251031,Associate in Computer Technology,3
Mile,Padgham,Pindar,mpindar2z@nhs.uk,24772841,Associate in Computer Technology,3
Augustin,Heinl,McGirr,amcgirr30@jimdo.com,87487986,Associate in Computer Technology,3
Georgy,Barby,Rhodes,grhodes31@walmart.com,45076663,Associate in Computer Technology,4
Carina,Catt,Tubritt,ctubritt32@examiner.com,34590549,Associate in Computer Technology,4
Malena,Dodgshun,Ewen,mewen33@huffingtonpost.com,97628819,Associate in Computer Technology,4
Rosaline,Siggens,Harmond,rharmond34@icq.com,96396987,Associate in Computer Technology,4
Ingelbert,Bannester,Jerdon,ijerdon35@weibo.com,49204599,Associate in Computer Technology,4
Codie,Neumann,Townby,ctownby36@usnews.com,69051556,Associate in Computer Technology,4
Fredra,Tesdale,Bearham,fbearham37@youku.com,40349801,Associate in Computer Technology,4
Lorene,Nowak,Jell,ljell38@cyberchimps.com,55753614,Associate in Computer Technology,4
Rosene,Carnalan,Cranmer,rcranmer39@goo.ne.jp,80170089,Associate in Computer Technology,4
Matilde,Lunge,Tollerfield,mtollerfield3a@jigsy.com,13323638,Associate in Computer Technology,4
