first_name,middle_name,last_name,email,student_id,course,year
Trescha,Shirlaw,Jerrold,tjerrold0@vinaora.com,43816108,Bachelor of Science in Acounting Information System,4
Kiersten,Flute,Brettoner,kbrettoner1@sciencedaily.com,39536061,Bachelor of Arts in Political Science,4
Buddy,Sargison,MacDougall,bmacdougall2@yolasite.com,51856105,Bachelor of Arts in Political Science,2
Charlton,Filochov,Skerratt,cskerratt3@ed.gov,80347993,Bachelor of Science in Acounting Information System,1
Philippine,Teacy,Littlekit,plittlekit4@reuters.com,45847645,Bachelor of Science in Information Technology,4
Jemima,Eade,Kryska,jkryska5@cafepress.com,41958780,Bachelor of Science in Computer Science,2
Kelwin,Prenty,Waye,kwaye6@360.cn,10465210,Bachelor of Science in Information Technology,1
Perry,Menghi,Eyckelberg,peyckelberg7@ed.gov,70986919,Bachelor of Science in Information Technology,2
Zebedee,Flement,Pautot,zpautot8@auda.org.au,95258406,Bachelor of Arts in Political Science,3
Joelly,Wassung,Harkes,jharkes9@blinklist.com,87187221,Bachelor of Science in Information Technology,1
Udall,Monahan,Withrop,uwithropa@washington.edu,78719935,Bachelor of Science in Computer Science,4
Kirsteni,Mac Giany,Tue,ktueb@answers.com,78298256,Bachelor of Science in Computer Science,4
Vergil,Bewly,Bendix,vbendixc@youku.com,45364359,Bachelor of Science in Information Technology,2
Lorenzo,Legen,Mullord,lmullordd@paginegialle.it,20471193,Bachelor of Arts in Political Science,3
Estella,O' Mahony,Rouchy,erouchye@amazon.de,24924903,Bachelor of Science in Information Technology,4
Adda,Cambell,Cattermull,acattermullf@artisteer.com,35913615,Bachelor of Science in Computer Science,3
Lexis,Rembaud,Mansion,lmansiong@vkontakte.ru,44585373,Bachelor of Science in Information Technology,4
Sutton,Bartolini,Colmer,scolmerh@a8.net,92851450,Bachelor of Arts in Political Science,2
Elmore,Wilsey,Ghiotto,eghiottoi@webnode.com,20825453,Bachelor of Science in Acounting Information System,1
Brandice,Beckwith,Husband,bhusbandj@w3.org,86825591,Bachelor of Arts in Political Science,3
Korella,Rodgier,Petz,kpetzk@cnbc.com,98785790,Bachelor of Science in Computer Science,4
Demetrius,Blount,Fleetwood,dfleetwoodl@sciencedaily.com,19205084,Bachelor of Arts in Political Science,3
Ilyse,Born,Hillin,ihillinm@upenn.edu,59783784,Bachelor of Arts in Political Science,4
Staford,McCarlie,Olcot,solcotn@ftc.gov,37504378,Bachelor of Science in Acounting Information System,2
Lynda,McKean,Kubicek,lkubiceko@sciencedaily.com,74548206,Bachelor of Arts in Political Science,1
Natalee,Walkowski,Plevin,nplevinp@sun.com,43237697,Bachelor of Arts in Political Science,1
Theresita,Halmkin,Lathwood,tlathwoodq@twitter.com,14283339,Bachelor of Arts in Political Science,3
Erminie,Newberry,Rawsthorne,erawsthorner@wikispaces.com,33876086,Bachelor of Arts in Political Science,1
Patsy,Hegdonne,Scragg,pscraggs@plala.or.jp,96604609,Bachelor of Science in Computer Science,4
Amii,Popple,Turtle,aturtlet@skyrock.com,66298868,Bachelor of Science in Information Technology,2
Serene,Duckhouse,McCarty,smccartyu@nyu.edu,51844131,Bachelor of Science in Computer Science,3
Trueman,Humpatch,Webborn,twebbornv@geocities.jp,25422733,Bachelor of Science in Computer Science,1
Ezechiel,Semken,Penvarne,epenvarnew@shutterfly.com,53428974,Bachelor of Arts in Political Science,2
Lynna,Gerren,Trosdall,ltrosdallx@apple.com,34953265,Bachelor of Arts in Political Science,4
Delano,Dykes,Armstrong,darmstrongy@posterous.com,92704762,Bachelor of Science in Computer Science,4
Jimmie,Schiesterl,Parkes,jparkesz@java.com,32762731,Bachelor of Science in Computer Science,1
Jorgan,Burnes,Celes,jceles10@chronoengine.com,37129517,Bachelor of Science in Acounting Information System,3
Morganica,Congreave,Pauwel,mpauwel11@cbslocal.com,39202220,Bachelor of Arts in Political Science,1
Stanton,Nicholson,McNellis,smcnellis12@hexun.com,45727792,Bachelor of Science in Information Technology,2
Birdie,Delooze,Dureden,bdureden13@tmall.com,64268305,Bachelor of Science in Information Technology,3
Olympe,Demke,Maso,omaso14@sina.com.cn,10703527,Bachelor of Arts in Political Science,3
Gerald,Kunkler,Massimi,gmassimi15@pinterest.com,60428711,Bachelor of Science in Acounting Information System,3
Isidro,Tuite,Pattillo,ipattillo16@tamu.edu,60959970,Bachelor of Science in Acounting Information System,3
Wye,Sterre,Rubbert,wrubbert17@icq.com,25448068,Bachelor of Science in Information Technology,4
Emmery,Dedney,Sterrie,esterrie18@dot.gov,94056440,Bachelor of Science in Acounting Information System,3
