first_name,middle_name,last_name,email,username,password,student_id,course,year
Wernher,Penritt,Pullen,wpullen0@nbcnews.com,wpullen0,vL2&|LB#L|,59610338,2,3
Denis,Downing,Shire,dshire1@behance.net,dshire1,gW0=bps5yJ,67681721,3,4
Davin,Merrisson,Wetherhead,dwetherhead2@google.com,dwetherhead2,iF0#/SE.7,92449597,3,1
Abie,Heeks,Domengue,adomengue3@senate.gov,adomengue3,|pH1&|NhAry?Zd,85664073,2,3
Alard,Bowdery,Iles,ailes4@archive.org,ailes4,vD2>HX<P|yTu3!,88953805,2,1
Barbara-anne,Jiruca,Peirson,bpeirson5@bandcamp.com,bpeirson5,hA9#ZYI%M8|,46937348,2,1
Manny,Rathjen,Cockling,mcockling6@china.com.cn,mcockling6,uZ4\6(J5,46948768,2,2
Jamima,Frounks,Milius,jmilius7@sbwire.com,jmilius7,jT56@KOoXLe,22258896,3,2
Marieann,Milkin,Veelers,mveelers8@jugem.jp,mveelers8,tK7m4W10yGm,94810211,1,3
Bancroft,Littlejohn,Hillum,bhillum9@i2i.jp,bhillum9,yK9GbtbQsYV9G,15182863,1,3
